From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ORF)	EMBL
G5ND27	G5ND27	unreviewed	G5ND27_SALET	Choloylglycine hydrolase	LTSEINV_2534	Salmonella enterica subsp. enterica serovar Inverness str. R8-3668	363	LTSEINV_2534	AFCO01000845;
A0A4D6PAD0	A0A4D6PAD0	unreviewed	A0A4D6PAD0_SALET	Linear amide C-N hydrolase	SEEB0189_11880	Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000189	363	SEEB0189_11880	CP039502;
A0A6C8LUX6	A0A6C8LUX6	unreviewed	A0A6C8LUX6_SALET	Linear amide C-N hydrolase	E4977_07540	Salmonella enterica subsp. enterica serovar Lubbock	363	E4977_07540	SRDL01000003;
A0A637DJ20	A0A637DJ20	unreviewed	A0A637DJ20_SALET	Linear amide C-N hydrolase	BW000_01640	Salmonella enterica subsp. enterica serovar Poona	363	BW000_01640	AAMKGY010000001;
A0A3R8SN63	A0A3R8SN63	unreviewed	A0A3R8SN63_SALET	Linear amide C-N hydrolase	D4394_06590 D4X56_04370 DPJ87_04825 DRF24_02610 DVF03_13945 E2E88_07535 EIL51_014180 EIL58_0008180 EIL68_0008180 EJI76_07465 ENF03_01460 EUB96_01590 FEI81_01570 G4X30_003833 G9C19_001060 G9F91_000676 G9F92_004700 G9X35_002036	Salmonella enterica subsp. enterica serovar Java	363	D4394_06590 D4X56_04370 DPJ87_04825 DRF24_02610 DVF03_13945 E2E88_07535 EIL51_014180 EIL58_0008180 EIL68_0008180 EJI76_07465 ENF03_01460 EUB96_01590 FEI81_01570 G4X30_003833 G9C19_001060 G9F91_000676 G9F92_004700 G9X35_002036	AAGUSU010000005;AAGVHU010000003;AAGWAH010000011;AAHKOQ010000002;AAHNYU010000003;AAHOED010000004;AAHVAQ010000001;AAINPK010000001;AAIPIO010000001;DAATQO010000119;DAAUBA010000092;DAAUDK010000003;DAAUDD010000010;DAAWCF010000020;SMQN01000003;RSBM03000004;RSBO03000004;RSBV02000009;
A0A730C4Z9	A0A730C4Z9	unreviewed	A0A730C4Z9_SALET	Linear amide C-N hydrolase	G3989_001807	"Salmonella enterica subsp. enterica serovar 4,[5],12:b:-"	363	G3989_001807	DAARRQ010000011;
A0A636K844	A0A636K844	unreviewed	A0A636K844_SALET	Linear amide C-N hydrolase	CC877_05235	Salmonella enterica subsp. enterica serovar Uzaramo	363	CC877_05235	AAMJSY010000005;
A0A3W0F8W7	A0A3W0F8W7	unreviewed	A0A3W0F8W7_SALET	Linear amide C-N hydrolase	CB565_11110 CE369_00470 G2166_00595 GDN52_00580 GDN54_04220 GDN64_00580	Salmonella enterica subsp. enterica serovar Litchfield	363	CB565_11110 CE369_00470 G2166_00595 GDN52_00580 GDN54_04220 GDN64_00580	AAMISU010000009;AAMLIE010000001;DAAAMO010000001;DAAAMN010000005;DAAAMR010000001;DAAQNM010000001;
G5SBX9	G5SBX9	unreviewed	G5SBX9_SALET	Choloylglycine hydrolase	LTSEWAN_2717	Salmonella enterica subsp. enterica serovar Wandsworth str. A4-580	363	LTSEWAN_2717	AFCX01000914;
G5R070	G5R070	unreviewed	G5R070_SALSE	Choloylglycine hydrolase	LTSESEN_2632	Salmonella enterica subsp. enterica serovar Senftenberg str. A4-543	363	LTSESEN_2632	AFCU01000859;
A0A5W2A6I7	A0A5W2A6I7	unreviewed	A0A5W2A6I7_SALET	Linear amide C-N hydrolase	DPD33_02680	Salmonella enterica subsp. enterica serovar Pretoria	363	DPD33_02680	AAHIAM010000002;
A0A5X5NFS4	A0A5X5NFS4	unreviewed	A0A5X5NFS4_SALET	Linear amide C-N hydrolase	DUQ21_03550 EJH34_02340	Salmonella enterica subsp. enterica serovar Colindale	363	DUQ21_03550 EJH34_02340	AAHMXT010000002;AAHTOL010000002;
A0A5H7NJZ9	A0A5H7NJZ9	unreviewed	A0A5H7NJZ9_SALET	Linear amide C-N hydrolase	CG757_02205 CHU57_01320	Salmonella enterica subsp. enterica serovar Cotham	363	CG757_02205 CHU57_01320	AAKKOC010000001;AAKOIS010000001;
A0A974KL60	A0A974KL60	unreviewed	A0A974KL60_SALET	Linear amide C-N hydrolase	R537_02925	"Salmonella enterica subsp. enterica serovar Rough O:d:1,7"	363	R537_02925	NBPI01000001;
A0A702BJ37	A0A702BJ37	unreviewed	A0A702BJ37_SALET	Linear amide C-N hydrolase	G0D12_25190	Salmonella enterica subsp. enterica serovar Eastbourne	332	G0D12_25190	DAAMHJ010000042;
A0A8E6VV63	A0A8E6VV63	unreviewed	A0A8E6VV63_SALET	Linear amide C-N hydrolase	UM34_10865	Salmonella enterica subsp. enterica serovar Shamba	363	UM34_10865	CP074648;
A0A5H7S7C5	A0A5H7S7C5	unreviewed	A0A5H7S7C5_SALET	Linear amide C-N hydrolase	DUQ85_12045	Salmonella enterica subsp. enterica serovar Wentworth	363	DUQ85_12045	RUKS01000010;
A0A719TN96	A0A719TN96	unreviewed	A0A719TN96_SALTI	Linear amide C-N hydrolase	G1001_11660 G1Y05_10445 G1Y06_11660 G1Y07_13150 G1Y09_11365 G1Y10_13610 G1Y12_12925 G1Y20_11660 G1Y21_11510 G1Y22_09185 G1Y24_10430 G1Y25_11195 G1Y28_11725 G1Y29_11665 G1Y30_10730 G1Y34_11335 G1Y35_12725 G1Y38_09145 G1Y39_08600 G1Y40_09905 G1Y44_09460 G1Y47_09040 G1Y48_13285 G1Y51_11915 G1Y52_09555 G1Y53_11200 G1Y55_09860 G1Y60_10165 G1Y64_11675 G1Y66_10570 G1Y68_10450 G1Y73_10445 G1Y77_12725 G1Y78_11660 G1Y79_11490 G1Y82_10310 G1Y84_11730 G1Y85_12430 G1Y86_10445 G1Y90_08590 G1Y92_11660 G1Y97_12730 G1Y98_10670 G1Y99_11660 G1Z02_13015 G1Z03_11760 G1Z06_10490 G1Z07_09200 G1Z08_11490 G1Z11_10630 G1Z12_10450 G1Z13_08605 G1Z14_10125 G1Z16_08305 G1Z17_12425 G1Z22_12055 G1Z28_10255 G1Z31_12900 G1Z33_10735 G1Z34_08300 G1Z35_11655 G1Z36_11660 G1Z37_09195 G1Z39_19045 G1Z45_10900 G1Z47_09605 G1Z49_11670 G1Z51_12720 G1Z52_12730 G1Z53_10345 G1Z54_12735 G1Z55_12740 G1Z56_11665 G1Z59_12730 G1Z62_12325 G1Z63_11660 G1Z64_11440 G1Z65_11655 G1Z73_12340 G1Z75_11265 G1Z77_10450 G1Z83_11265 G1Z84_11660 G1Z85_11280 G1Z87_10445 G1Z92_11660 G1Z94_11695 G1Z96_12725 G1Z99_10550 GYJ72_10255	Salmonella enterica subsp. enterica serovar Typhi str. 404ty	363	G1001_11660 G1Y05_10445 G1Y06_11660 G1Y07_13150 G1Y09_11365 G1Y10_13610 G1Y12_12925 G1Y20_11660 G1Y21_11510 G1Y22_09185 G1Y24_10430 G1Y25_11195 G1Y28_11725 G1Y29_11665 G1Y30_10730 G1Y34_11335 G1Y35_12725 G1Y38_09145 G1Y39_08600 G1Y40_09905 G1Y44_09460 G1Y47_09040 G1Y48_13285 G1Y51_11915 G1Y52_09555 G1Y53_11200 G1Y55_09860 G1Y60_10165 G1Y64_11675 G1Y66_10570 G1Y68_10450 G1Y73_10445 G1Y77_12725 G1Y78_11660 G1Y79_11490 G1Y82_10310 G1Y84_11730 G1Y85_12430 G1Y86_10445 G1Y90_08590 G1Y92_11660 G1Y97_12730 G1Y98_10670 G1Y99_11660 G1Z02_13015 G1Z03_11760 G1Z06_10490 G1Z07_09200 G1Z08_11490 G1Z11_10630 G1Z12_10450 G1Z13_08605 G1Z14_10125 G1Z16_08305 G1Z17_12425 G1Z22_12055 G1Z28_10255 G1Z31_12900 G1Z33_10735 G1Z34_08300 G1Z35_11655 G1Z36_11660 G1Z37_09195 G1Z39_19045 G1Z45_10900 G1Z47_09605 G1Z49_11670 G1Z51_12720 G1Z52_12730 G1Z53_10345 G1Z54_12735 G1Z55_12740 G1Z56_11665 G1Z59_12730 G1Z62_12325 G1Z63_11660 G1Z64_11440 G1Z65_11655 G1Z73_12340 G1Z75_11265 G1Z77_10450 G1Z83_11265 G1Z84_11660 G1Z85_11280 G1Z87_10445 G1Z92_11660 G1Z94_11695 G1Z96_12725 G1Z99_10550 GYJ72_10255	DAAHPL010000009;DAAPPR010000009;DAAPPV010000009;DAAPPY010000010;DAAPPP010000012;DAAPQC010000009;DAAPQK010000011;DAAPQH010000008;DAAPQE010000007;DAAPPL010000008;DAAPRQ010000008;DAAPRY010000009;DAAPRV010000011;DAAPRS010000009;DAAPQO010000011;DAAPQN010000010;DAAPRG010000009;DAAPSA010000008;DAAPRE010000013;DAAPRM010000007;DAAPRI010000009;DAAPQZ010000007;DAAPQP010000009;DAAPQY010000009;DAAPQW010000008;DAAPQT010000009;DAAPRD010000009;DAAPSD010000009;DAAPQX010000010;DAAPSE010000009;DAAPSF010000008;DAAPSI010000008;DAAPSR010000009;DAAPSM010000008;DAAPSO010000010;DAAPSS010000010;DAAPTE010000010;DAAPSX010000010;DAAPTI010000009;DAAPTD010000010;DAAPTJ010000007;DAAPTA010000009;DAAPTF010000008;DAAPTG010000008;DAAPTM010000009;DAAPTO010000007;DAAPTS010000010;DAAPTX010000008;DAAPTY010000011;DAAPUB010000007;DAAPUO010000009;DAAPUJ010000008;DAAPUW010000010;DAAPUN010000009;DAAPUX010000010;DAAPUK010000008;DAAPUQ010000009;DAAPTP010000009;DAAPVB010000009;DAAPUH010000010;DAAPUE010000010;DAAPUF010000008;DAAPUI010000010;DAAPUT010000027;DAAPUS010000011;DAAPVE010000007;DAAPVF010000007;DAAPVI010000009;DAAPVK010000010;DAAPVJ010000009;DAAPVO010000009;DAAPVS010000010;DAAPVT010000009;DAAPVN010000009;DAAPWB010000009;DAAPWM010000009;DAAPWH010000008;DAAPWC010000009;DAAPVW010000009;DAAPWF010000009;DAAPVX010000010;DAAPWI010000009;DAAPWO010000009;DAAPWP010000008;DAAPWT010000009;DAAPWS010000008;DAAPWW010000009;DAAPXN010000010;DAAPXH010000009;DAAPXE010000008;
A0A3V4FRN6	A0A3V4FRN6	unreviewed	A0A3V4FRN6_SALET	Linear amide C-N hydrolase	G0B22_03285 G9287_000730 GNB72_001381	Salmonella enterica subsp. enterica serovar Heidelberg	363	G0B22_03285 G9287_000730 GNB72_001381	DAAMGI010000002;DAASTI010000004;DAAWET010000002;
A0A5W1UGL1	A0A5W1UGL1	unreviewed	A0A5W1UGL1_SALET	Linear amide C-N hydrolase	AXR08_11820	Salmonella enterica subsp. enterica serovar Saintpaul	363	AXR08_11820	AAHHTC010000006;
A0A5I6QD58	A0A5I6QD58	unreviewed	A0A5I6QD58_SALET	Linear amide C-N hydrolase	BSD54_02065	Salmonella enterica subsp. enterica serovar Kiambu	363	BSD54_02065	AAKNZM010000001;
A0A5H7CVL2	A0A5H7CVL2	unreviewed	A0A5H7CVL2_SALET	Linear amide C-N hydrolase	DUC28_00650	Salmonella enterica subsp. enterica serovar Tudu	363	DUC28_00650	RTSL01000001;
A0A2T8X5L8	A0A2T8X5L8	unreviewed	A0A2T8X5L8_SALET	Linear amide C-N hydrolase	C4784_00235 C4855_16155	Salmonella enterica subsp. enterica serovar Gaminara	363	C4784_00235 C4855_16155	QDLV01000013;QDOO01000001;
A0A4U8AB95	A0A4U8AB95	unreviewed	A0A4U8AB95_SALET	Linear amide C-N hydrolase	CC389_07060	Salmonella enterica subsp. enterica serovar Chester	363	CC389_07060	AAHIGU010000003;
A0A5U5RAL5	A0A5U5RAL5	unreviewed	A0A5U5RAL5_SALET	Linear amide C-N hydrolase	ERG05_13035	Salmonella enterica subsp. enterica serovar Adjame	363	ERG05_13035	AAHVST010000010;
A0A4Y6MBS8	A0A4Y6MBS8	unreviewed	A0A4Y6MBS8_SALET	Linear amide C-N hydrolase	CAC52_11430 D4X88_07585 DQC01_18310 EGU88_05810 EO194_08565 EO253_04330 EUV76_06565 GNC04_001128	Salmonella enterica subsp. enterica serovar Indiana	363	CAC52_11430 D4X88_07585 DQC01_18310 EGU88_05810 EO194_08565 EO253_04330 EUV76_06565 GNC04_001128	AAGWDL010000004;AAHJAA010000091;AAHSKH010000002;AAHVGF010000002;AAHVFQ010000008;AAHWIV010000004;DAARSZ010000004;CP074612;
V7IL49	V7IL49	unreviewed	V7IL49_SALET	"Linear amide C-N hydrolase, choloylglycine hydrolase family protein"	A628_03348	Salmonella enterica subsp. enterica serovar Cubana str. 76814	363	A628_03348	AZGR01000068;
A0A2T9IBJ6	A0A2T9IBJ6	unreviewed	A0A2T9IBJ6_SALET	Linear amide C-N hydrolase	A3Z75_02160 AL996_02100 B7643_02100 B7S77_02100 BEI99_11875 BH418_01595 C4792_02555 CB179_07085 CB381_01550 CBN47_07140 CC399_06870 D5800_00825 DEM85_00220 DKS77_05975 DLB38_00925 DN360_08720 DNV88_01225 DTG92_02130 DTV28_05055 DU232_07110 DUR08_13740 E0T08_00535 EEQ47_01575 EPK73_05055 EVU59_02160 EZX27_02145 FIR09_04710 G0D82_04645 G1157_02160 G2167_02155 G2187_02155 G2192_02155 G2213_02160 G2913_02100 G2953_20555 G2960_15245 G2966_12960 G2970_02100 G2990_02050 G3980_004293 G3A30_19865 G4D20_000423 G4I51_004201 G4K93_000424 G4P07_000313 G4P20_000413 G4Y13_001372 G9257_004625 G9336_000424 G9C35_002266 G9C70_001076 G9G25_004123 G9X09_002281 GB020_02100 GB178_22340 GB182_02100 GB193_20970 GB352_02100 GB356_02100 GB388_21955 GB394_02100 GB423_02100 GB430_02050 GB441_06015 GB481_02100 GB613_02395 GBR77_02100 GBS17_02100 GBV99_19135 GBX08_02100 GBX75_02050 GBY12_02100 GBY78_02100 GBZ43_21060 GBZ56_22640	Salmonella enterica subsp. enterica serovar Agona	363	A3Z75_02160 AL996_02100 B7643_02100 B7S77_02100 BEI99_11875 BH418_01595 C4792_02555 CB179_07085 CB381_01550 CBN47_07140 CC399_06870 D5800_00825 DEM85_00220 DKS77_05975 DLB38_00925 DN360_08720 DNV88_01225 DTG92_02130 DTV28_05055 DU232_07110 DUR08_13740 E0T08_00535 EEQ47_01575 EPK73_05055 EVU59_02160 EZX27_02145 FIR09_04710 G0D82_04645 G1157_02160 G2167_02155 G2187_02155 G2192_02155 G2213_02160 G2913_02100 G2953_20555 G2960_15245 G2966_12960 G2970_02100 G2990_02050 G3980_004293 G3A30_19865 G4D20_000423 G4I51_004201 G4K93_000424 G4P07_000313 G4P20_000413 G4Y13_001372 G9257_004625 G9336_000424 G9C35_002266 G9C70_001076 G9G25_004123 G9X09_002281 GB020_02100 GB178_22340 GB182_02100 GB193_20970 GB352_02100 GB356_02100 GB388_21955 GB394_02100 GB423_02100 GB430_02050 GB441_06015 GB481_02100 GB613_02395 GBR77_02100 GBS17_02100 GBV99_19135 GBX08_02100 GBX75_02050 GBY12_02100 GBY78_02100 GBZ43_21060 GBZ56_22640	AAFGSL010000001;AAFIKO010000003;AAGQKS010000006;AAGQWK010000001;AAGTMP010000005;AAGUBV010000001;AAGUFA010000003;AAHDEP010000001;AAHMZR010000016;AAHNKL010000004;AAHORV010000001;AAHRZG010000001;AAHVIS010000005;AAHWZL010000001;AAHYCG010000001;AAHYFF010000001;AAKNHU010000001;AAKRAK010000006;AALOGT010000001;AALSOQ010000001;AAMEPF010000001;AAMEQR010000001;AAMIBF010000004;AAMIHC010000001;AAMIOU010000010;AAMJGE010000004;DAAFPI010000001;DAAFUE010000001;DAAFWC010000001;DAAFWP010000001;DAAFWQ010000111;DAAFXG010000001;DAAFYT010000003;DAAGBK010000001;DAAGBW010000001;DAAGMN010000103;DAAGNE010000012;DAAGOV010000001;DAAGSJ010000001;DAAGUG010000129;DAAGVZ010000169;DAAGXT010000001;DAAGZR010000087;DAAHBC010000118;DAAHCK010000001;DAAHEN010000001;DAAHFX010000001;DAAHHO010000001;DAAMIM010000002;DAAPXI010000001;DAAQLP010000001;DAAQNS010000001;DAAQOM010000001;DAAQQN010000001;DAAQWY010000001;DAAQXF010000163;DAAQXW010000013;DAAQYH010000001;DAARAE010000139;DAARAH010000022;DAARAJ010000001;DAARRM010000100;DAARZX010000001;DAASLH010000139;DAASRO010000001;DAASXW010000001;DAASYN010000001;DAATOG010000004;DAATXT010000006;DAATZW010000022;DAAUAP010000055;DAAWBV010000017;DAAWDN010000131;DAAWFY010000001;QDOG01000001;
A0A8F0CLI2	A0A8F0CLI2	unreviewed	A0A8F0CLI2_SALET	Linear amide C-N hydrolase	A7S33_007125	Salmonella enterica subsp. enterica serovar Inverness	363	A7S33_007125	CP075132;
A0A5X3P8B9	A0A5X3P8B9	unreviewed	A0A5X3P8B9_SALET	Linear amide C-N hydrolase	D2118_18180	Salmonella enterica subsp. enterica serovar Weslaco	363	D2118_18180	AAHRRA010000021;
A0A3V9S2A2	A0A3V9S2A2	unreviewed	A0A3V9S2A2_SALET	Linear amide C-N hydrolase	A3179_13185 A3Y30_11840 A3Z70_08915 A9T32_14875 A9T44_11360 A9T50_02145 A9W12_04750 A9W30_05225 ACY89_02240 AKH67_02615 ALX47_02615 ALZ48_02615 APO12_15675 ASH16_02075 AUA60_01620 AUB25_02210 AYO62_16565 B0D29_21170 B6C64_16165 B8184_13115 B9R05_15895 BCO88_07180 BCP44_04510 BGH80_07405 BH531_04455 C6752_02240 CAH52_15805 CAH86_09905 CB071_09915 CBQ06_02075 CBZ91_15695 CCH07_12950 CCW64_09830 CDJ86_04370 CE351_11910 CEB89_20610 CEB92_16955 CED36_05380 CFL54_10640 CIR65_06445 D1343_05525 D3156_08695 D3E07_02240 D3I79_05340 D6273_04885 D6J12_10605 D6Y68_20435 D9A38_10835 D9U58_04560 DKO31_08095 DM626_21840 DM640_03335 DML56_01635 DN913_10865 DN953_20540 DOQ15_21695 DR951_03430 DT111_13855 DTE28_11510 DVE68_15515 DXS28_10895 DYO51_08185 E2A04_02145 E2K49_21465 E2K50_13360 E3B48_23540 E4679_18540 E4J19_17025 EA075_09625 EIC51_14235 EID80_19560 ELM42_09655 ELO16_06985 EOV29_04200 EQ864_05630 ER558_10745 ESI84_02145 EWR76_22550 EYU37_19400 EZK82_23835 FA713_14290 FA719_10560 FBD64_02290 FDQ73_13390 GL28_02525 JF21_02610	Salmonella enterica subsp. enterica serovar Kentucky	363	A3179_13185 A3Y30_11840 A3Z70_08915 A9T32_14875 A9T44_11360 A9T50_02145 A9W12_04750 A9W30_05225 ACY89_02240 AKH67_02615 ALX47_02615 ALZ48_02615 APO12_15675 ASH16_02075 AUA60_01620 AUB25_02210 AYO62_16565 B0D29_21170 B6C64_16165 B8184_13115 B9R05_15895 BCO88_07180 BCP44_04510 BGH80_07405 BH531_04455 C6752_02240 CAH52_15805 CAH86_09905 CB071_09915 CBQ06_02075 CBZ91_15695 CCH07_12950 CCW64_09830 CDJ86_04370 CE351_11910 CEB89_20610 CEB92_16955 CED36_05380 CFL54_10640 CIR65_06445 D1343_05525 D3156_08695 D3E07_02240 D3I79_05340 D6273_04885 D6J12_10605 D6Y68_20435 D9A38_10835 D9U58_04560 DKO31_08095 DM626_21840 DM640_03335 DML56_01635 DN913_10865 DN953_20540 DOQ15_21695 DR951_03430 DT111_13855 DTE28_11510 DVE68_15515 DXS28_10895 DYO51_08185 E2A04_02145 E2K49_21465 E2K50_13360 E3B48_23540 E4679_18540 E4J19_17025 EA075_09625 EIC51_14235 EID80_19560 ELM42_09655 ELO16_06985 EOV29_04200 EQ864_05630 ER558_10745 ESI84_02145 EWR76_22550 EYU37_19400 EZK82_23835 FA713_14290 FA719_10560 FBD64_02290 FDQ73_13390 GL28_02525 JF21_02610	AAGDUG010000100;AAGDVA010000036;AAGDWY010000019;AAGEBN010000014;AAGEHN010000001;AAGEON010000001;AAGFNW010000001;AAGHMS010000018;AAGHPP010000022;AAGHQA010000005;AAGHSH010000022;AAGHTB010000062;AAGHXH010000009;AAGHXO010000003;AAGHZM010000020;AAGIAU010000001;AAGJTV010000012;AAHGZJ010000001;AAHHJF010000001;AAHJMM010000003;AAHPMI010000010;AAHPLT010000047;AAHQMV010000006;AAHQUD010000002;AAHSYX010000039;AAHULA010000002;AAHULV010000010;AAHVRN010000005;AAHVUF010000016;AAHVVF010000001;AAHXIE010000100;AAHYAO010000071;AAHYUR010000001;AAKIWH010000019;AAKJDK010000012;AAKJFM010000010;AAKJTW010000022;AAKLFR010000035;AAKLNX010000001;AAKLTE010000018;AAKLXH010000025;AAKLZF010000019;AAKNKF010000007;AAKNQD010000008;AAKOFV010000021;AAKOQU010000001;AAKOWS010000002;AAKPHH010000004;AAKPJA010000021;AAKPQU010000009;AAKQXS010000006;AAKQYR010000001;AAKRLS010000003;AAKSVW010000001;AAKSWN010000006;AAKSVH010000006;AAKSBM010000121;AAKSAY010000009;AAKRWR010000001;AAKTJV010000036;AAKTLY010000009;AAKRVG010000016;AAKWYY010000001;AAKYEZ010000001;AALKSI010000016;AALNXO010000011;AALOUC010000008;AALOWW010000002;AALRRQ010000002;AAMARF010000028;AAMCZO010000024;AAMEYE010000011;AAMFEG010000011;AAMFMM010000016;AAMFMX010000007;AAMHPQ010000001;AAMHWT010000005;AAMIOR010000015;AAMIVI010000013;AAMJAQ010000009;AAMKKX010000002;AAMKTN010000038;AAMKVI010000003;AAMLHW010000007;AAMLTI010000010;SQSB01000008;
A0A5X8YFW3	A0A5X8YFW3	unreviewed	A0A5X8YFW3_SALET	Linear amide C-N hydrolase	EVG56_01315	Salmonella enterica subsp. enterica serovar Kisarawe	363	EVG56_01315	AAHWUP010000001;
A0A5U9HYR8	A0A5U9HYR8	unreviewed	A0A5U9HYR8_SALET	Linear amide C-N hydrolase	DRT62_02825	Salmonella enterica subsp. enterica serovar Saintpaul	363	DRT62_02825	AAGUVH010000002;
A0A5X3NAA1	A0A5X3NAA1	unreviewed	A0A5X3NAA1_SALET	Linear amide C-N hydrolase	AN748_03155 AVS30_03155 AVS35_02440 AYK09_01595 C9E99_10800 DLM27_21690 DPT12_01215 G4H14_000457	Salmonella enterica subsp. enterica serovar Poona	363	AN748_03155 AVS30_03155 AVS35_02440 AYK09_01595 C9E99_10800 DLM27_21690 DPT12_01215 G4H14_000457	AAHDIV010000029;AAHIUE010000001;AAKYLP010000001;AALIEF010000001;AALIFK010000001;AALKPQ010000001;DAASBB010000001;PYKD01000112;
A0A3Q9LW23	A0A3Q9LW23	unreviewed	A0A3Q9LW23_SALET	Linear amide C-N hydrolase	ELZ85_11970 ELZ87_11920	"Salmonella enterica subsp. enterica serovar 43:a:1,7"	363	ELZ85_11970 ELZ87_11920	CP034711;CP034712;
A0A403QJY6	A0A403QJY6	unreviewed	A0A403QJY6_SALET	Linear amide C-N hydrolase	D7N80_18025	Salmonella enterica subsp. enterica serovar Kidderminster	363	D7N80_18025	RVVJ01000022;
A0A5W8MKH9	A0A5W8MKH9	unreviewed	A0A5W8MKH9_SALET	Linear amide C-N hydrolase	DU055_23395	Salmonella enterica subsp. enterica serovar Hofit	363	DU055_23395	AAHNFW010000135;
A0A659PCQ4	A0A659PCQ4	unreviewed	A0A659PCQ4_SALET	Linear amide C-N hydrolase	C9E92_03050 C9E97_05675 C9E98_17155 C9F00_16340 C9F02_07570 C9F04_04530 C9F06_21140 C9F09_23020	Salmonella enterica subsp. enterica serovar Wilhelmsburg	363	C9E92_03050 C9E97_05675 C9E98_17155 C9F00_16340 C9F02_07570 C9F04_04530 C9F06_21140 C9F09_23020	PYJT01000057;PYKA01000042;PYJZ01000090;PYKC01000099;PYKB01001339;PYKG01000069;PYKF01000188;PYKH01000114;
A0A5V9GE94	A0A5V9GE94	unreviewed	A0A5V9GE94_SALET	Linear amide C-N hydrolase	JS28_04090	Salmonella enterica subsp. enterica serovar Wandsworth	363	JS28_04090	AAHFSD010000002;
A0A5X9FE04	A0A5X9FE04	unreviewed	A0A5X9FE04_SALET	Linear amide C-N hydrolase	EVT47_10095	Salmonella enterica subsp. enterica serovar Tamberma	363	EVT47_10095	AAHXAW010000021;
A0A5I4ACD2	A0A5I4ACD2	unreviewed	A0A5I4ACD2_SALET	Linear amide C-N hydrolase	APM01_06105 BFV08_08435 DM677_19665 DN927_00875 DOG83_02355 DPE57_01895 DQK10_02720 DYS13_10310 DYT81_06405 E5908_00860 EWI81_01540 G4R07_000741	Salmonella enterica subsp. enterica serovar Reading	363	APM01_06105 BFV08_08435 DM677_19665 DN927_00875 DOG83_02355 DPE57_01895 DQK10_02720 DYS13_10310 DYT81_06405 E5908_00860 EWI81_01540 G4R07_000741	AAGVGK010000001;AAHDUY010000018;AAHXHM010000002;AAHYZU010000001;AAKIXE010000003;AAKLKV010000001;AAKMFT010000015;AAKNWZ010000002;AAKSPP010000016;AAKSBI010000002;DAATIJ010000001;RVCL01000001;
A0A5W0X3X5	A0A5W0X3X5	unreviewed	A0A5W0X3X5_SALTM	Linear amide C-N hydrolase	AUA44_12680	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	362	AUA44_12680	AAHGZB010000045;
A0A3V8VJ46	A0A3V8VJ46	unreviewed	A0A3V8VJ46_SALET	Linear amide C-N hydrolase	CC476_07475 G2825_07720 G2903_04695	Salmonella enterica subsp. enterica serovar Agama	363	CC476_07475 G2825_07720 G2903_04695	AAMJIL010000004;DAAQRO010000004;DAAQTM010000003;
A0A7U6BER3	A0A7U6BER3	unreviewed	A0A7U6BER3_SALDZ	Linear amide C-N hydrolase	DOE59_13195	Salmonella enterica subsp. diarizonae serovar 48:i:z	363	DOE59_13195	CP029989;
A0A735VTE3	A0A735VTE3	unreviewed	A0A735VTE3_SALDZ	Linear amide C-N hydrolase	GND69_004286	Salmonella enterica subsp. diarizonae serovar 48:i:z	363	GND69_004286	DAASUW010000034;
A0A8F0CGK9	A0A8F0CGK9	unreviewed	A0A8F0CGK9_SALDZ	Linear amide C-N hydrolase	A7S45_011310	"Salmonella enterica subsp. diarizonae serovar 60:r:e,n,x,z15"	363	A7S45_011310	CP075128;
A0A7Z0Y2U2	A0A7Z0Y2U2	unreviewed	A0A7Z0Y2U2_SALDZ	Linear amide C-N hydrolase	R545_23395	Salmonella enterica subsp. diarizonae serovar Rough:r:z	363	R545_23395	NBRZ01000022;
A0A5Y2QF30	A0A5Y2QF30	unreviewed	A0A5Y2QF30_SALER	Linear amide C-N hydrolase	FLP03_01660	Salmonella enterica subsp. arizonae	363	FLP03_01660	AAILJL010000001;
A0A5U3DHR5	A0A5U3DHR5	unreviewed	A0A5U3DHR5_SALER	Linear amide C-N hydrolase	T044_00220	Salmonella enterica subsp. arizonae	362	T044_00220	AAGLNU010000001;
A0A447R4L7	A0A447R4L7	unreviewed	A0A447R4L7_SALER	Hydrolase (EC 3.5.1.24)	cbh NCTC10047_03107	Salmonella enterica subsp. arizonae	362	NCTC10047_03107	LR134156;
A0A722B160	A0A722B160	unreviewed	A0A722B160_SALER	Linear amide C-N hydrolase	G1350_06100	Salmonella enterica (Salmonella choleraesuis)	363	G1350_06100	DAAQDQ010000002;
A0A3K8YM96	A0A3K8YM96	unreviewed	A0A3K8YM96_SALER	Linear amide C-N hydrolase	EEM47_22570	Salmonella enterica (Salmonella choleraesuis)	363	EEM47_22570	ROVY01000128;
A0A746B240	A0A746B240	unreviewed	A0A746B240_SALER	Linear amide C-N hydrolase	G8C23_001116	Salmonella enterica (Salmonella choleraesuis)	363	G8C23_001116	DAAVAJ010000002;
A0A5Y5I6F6	A0A5Y5I6F6	unreviewed	A0A5Y5I6F6_SALER	Linear amide C-N hydrolase	CJK82_01210 F9M14_00520	Salmonella enterica (Salmonella choleraesuis)	363	CJK82_01210 F9M14_00520	AAGYGH010000001;AALKFX010000001;
